"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","m3_builderAndFactoryProduceOrder()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m3_builderAndFactoryProduceOrder"
"","65","createsOrderWithBuilderDefaults()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","createsOrderWithBuilderDefaults"
"","71","overridesOnlyQty()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlyQty"
"","81","m5_dataIsVerifiedIndependentlyInDatabase()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m5_dataIsVerifiedIndependentlyInDatabase"
"Categories file contains exactly the three expected named categories","16","categoriesFileHasExactlyThreeCategories()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileHasExactlyThreeCategories"
"Deliberately throws an unhandled exception so Allure buckets it under Test defects broken","105","demonstratesTestDefectCategory()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesTestDefectCategory"
"Deliberately fails with a message matching the flaky messageRegex","34","demonstratesFlakyCategory()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesFlakyCategory"
"","98","countOrdersIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","countOrdersIndependently"
"","58","m2_repositorySavesAndCounts()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m2_repositorySavesAndCounts"
"","77","testC_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testC_createsOwnData"
"","488","To check connection is created or not","","2026-07-11","passed","2026-07-11","","com.ust.sdet.config.DatabaseConfigTest","com.ust.sdet.config.DatabaseConfigTest","shouldConnectToMysql"
"","65","overridesOnlySku()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlySku"
"","66","testA_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testA_createsOwnData"
"Flaky category matches both failed and broken statuses","19","flakyCategoryMatchesFailedAndBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryMatchesFailedAndBroken"
"Test defects category matches only broken status","93","testDefectsCategoryMatchesOnlyBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","testDefectsCategoryMatchesOnlyBroken"
"","86","testB_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testB_createsOwnData"
"Product defects category matches only failed status","246","productDefectsCategoryMatchesOnlyFailed()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","productDefectsCategoryMatchesOnlyFailed"
"","71","createOrderIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","createOrderIndependently"
"Skipped before execution via the Disabled annotation","0","demonstratesSkippedViaDisabled()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaDisabled"
"Flaky category is explicitly flagged flaky true","29","flakyCategoryIsFlaggedFlakyTrue()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryIsFlaggedFlakyTrue"
"","43","m1_databaseIsIsolatedAndReachable()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m1_databaseIsIsolatedAndReachable"
"Categories file is a well-formed JSON array","30","categoriesFileIsWellFormedArray()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileIsWellFormedArray"
"Flaky category has a messageRegex covering timeout, stale element, and connection reset","60","flakyCategoryHasExpectedMessageRegex()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryHasExpectedMessageRegex"
