"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","testA_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testA_createsOwnData"
"","69","overridesOnlySku()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlySku"
"","49","m3_builderAndFactoryProduceOrder()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m3_builderAndFactoryProduceOrder"
"","78","m5_dataIsVerifiedIndependentlyInDatabase()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m5_dataIsVerifiedIndependentlyInDatabase"
"Flaky category has a messageRegex covering timeout, stale element, and connection reset","9","flakyCategoryHasExpectedMessageRegex()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryHasExpectedMessageRegex"
"Categories file is a well-formed JSON array","12","categoriesFileIsWellFormedArray()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileIsWellFormedArray"
"","86","testB_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testB_createsOwnData"
"Deliberately fails with a message matching the flaky messageRegex","33","demonstratesFlakyCategory()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesFlakyCategory"
"","70","testC_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testC_createsOwnData"
"A normal passing test so Allure shows a Passed status","13","demonstratesPassedCategory()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesPassedCategory"
"","470","To check connection is created or not","","2026-07-11","passed","2026-07-11","","com.ust.sdet.config.DatabaseConfigTest","com.ust.sdet.config.DatabaseConfigTest","shouldConnectToMysql"
"Deliberately throws an unhandled exception so Allure buckets it under Test defects broken","18","demonstratesTestDefectCategory()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesTestDefectCategory"
"Skipped at runtime via a failed assumption, not a hard failure","22","demonstratesSkippedViaAssumption()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaAssumption"
"","42","m1_databaseIsIsolatedAndReachable()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m1_databaseIsIsolatedAndReachable"
"","69","createsOrderWithBuilderDefaults()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","createsOrderWithBuilderDefaults"
"","101","countOrdersIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","countOrdersIndependently"
"Flaky category matches both failed and broken statuses","15","flakyCategoryMatchesFailedAndBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryMatchesFailedAndBroken"
"","67","m4_testsAreIsolatedByReset()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m4_testsAreIsolatedByReset"
"Categories file contains exactly the three expected named categories","14","categoriesFileHasExactlyThreeCategories()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileHasExactlyThreeCategories"
"","82","overridesOnlyQty()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlyQty"
"Flaky category is explicitly flagged flaky true","22","flakyCategoryIsFlaggedFlakyTrue()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryIsFlaggedFlakyTrue"
"","66","createOrderIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","createOrderIndependently"
"Deliberately fails a plain assertion so Allure buckets it under Product defects","24","demonstratesProductDefectCategory()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesProductDefectCategory"
"","67","m2_repositorySavesAndCounts()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m2_repositorySavesAndCounts"
"Test defects category matches only broken status","11","testDefectsCategoryMatchesOnlyBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","testDefectsCategoryMatchesOnlyBroken"
"Categories split flaky, test and product failures so each bucket has an error","10","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"Product defects category matches only failed status","225","productDefectsCategoryMatchesOnlyFailed()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","productDefectsCategoryMatchesOnlyFailed"
"Skipped before execution via the Disabled annotation","0","demonstratesSkippedViaDisabled()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaDisabled"
