"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","testB_createsOwnData()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testB_createsOwnData"
"Verify product category matches failed status","11","verifyProductMatchedStatus()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyProductMatchedStatus"
"Verify categories.json file exists","12","categoriesFileExists()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileExists"
"","171","m1_databaseIsIsolatedAndReachable()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m1_databaseIsIsolatedAndReachable"
"","1578","countOrdersIndependently()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","countOrdersIndependently"
"Verify flaky flag exists","53","verifyFlakyFlag()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyFlakyFlag"
"","320","m2_repositorySavesAndCounts()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m2_repositorySavesAndCounts"
"Verify Flaky tests category exists","10","flakyCategoryExists()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryExists"
"Verify message regex exists","12","verifyMessageRegexExists()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyMessageRegexExists"
"","166","overridesOnlySku()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlySku"
"","183","m3_builderAndFactoryProduceOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m3_builderAndFactoryProduceOrder"
"Verify timeout keyword exists","284","verifyTimeoutRegex()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyTimeoutRegex"
"","1105","m5_dataIsVerifiedIndependentlyInDatabase()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m5_dataIsVerifiedIndependentlyInDatabase"
"Verify categories file is not empty","17","categoriesFileIsNotEmpty()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileIsNotEmpty"
"","130","createsOrderWithBuilderDefaults()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","createsOrderWithBuilderDefaults"
"","232","createOrderIndependently()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","createOrderIndependently"
"","244","testC_createsOwnData()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testC_createsOwnData"
"Verify flaky category matches failed and broken status","92","verifyFlakyMatchedStatuses()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyFlakyMatchedStatuses"
"","286","m4_testsAreIsolatedByReset()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m4_testsAreIsolatedByReset"
"","1122","overridesOnlyQty()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlyQty"
"","1368","testA_createsOwnData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testA_createsOwnData"
"Verify Product defects category exists","14","productDefectCategoryExists()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","productDefectCategoryExists"
"Verify stale element keyword exists","16","verifyStaleElementRegex()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyStaleElementRegex"
"Verify Flaky category comes before generic categories","40","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"Verify connection reset keyword exists","12","verifyConnectionResetRegex()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyConnectionResetRegex"
"Verify categories count","35","verifyCategoryCount()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyCategoryCount"
"Verify broken status appears twice","20","verifyBrokenStatusCount()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyBrokenStatusCount"
"Verify matchedStatuses count","11","verifyMatchedStatusesCount()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyMatchedStatusesCount"
"Verify failed status appears twice","48","verifyFailedStatusCount()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyFailedStatusCount"
"Verify broken category matches broken status","10","verifyBrokenMatchedStatus()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","verifyBrokenMatchedStatus"
"Verify Test defects category exists","12","testDefectCategoryExists()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","testDefectCategoryExists"
