"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","createsOrderWithBuilderDefaults()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","createsOrderWithBuilderDefaults"
"Skipped at runtime via a failed assumption, not a hard failure","27","demonstratesSkippedViaAssumption()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaAssumption"
"","84","m5_dataIsVerifiedIndependentlyInDatabase()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m5_dataIsVerifiedIndependentlyInDatabase"
"","63","overridesOnlySku()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlySku"
"A normal passing test so Allure shows a Passed status","12","demonstratesPassedCategory()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesPassedCategory"
"","59","testC_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testC_createsOwnData"
"","46","m3_builderAndFactoryProduceOrder()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m3_builderAndFactoryProduceOrder"
"Skipped before execution via the Disabled annotation","0","demonstratesSkippedViaDisabled()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaDisabled"
"","402","To check connection is created or not","","2026-07-11","passed","2026-07-11","","com.ust.sdet.config.DatabaseConfigTest","com.ust.sdet.config.DatabaseConfigTest","shouldConnectToMysql"
"","72","testB_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testB_createsOwnData"
"","66","m2_repositorySavesAndCounts()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m2_repositorySavesAndCounts"
"","71","m4_testsAreIsolatedByReset()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m4_testsAreIsolatedByReset"
"Deliberately fails a plain assertion so Allure buckets it under Product defects","22","demonstratesProductDefectCategory()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesProductDefectCategory"
"","57","testA_createsOwnData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testA_createsOwnData"
"","47","m1_databaseIsIsolatedAndReachable()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m1_databaseIsIsolatedAndReachable"
"Test defects category matches only broken status","12","testDefectsCategoryMatchesOnlyBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","testDefectsCategoryMatchesOnlyBroken"
"Deliberately fails with a message matching the flaky messageRegex","24","demonstratesFlakyCategory()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesFlakyCategory"
"Categories split flaky, test and product failures so each bucket has an error","12","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"Categories file is a well-formed JSON array","11","categoriesFileIsWellFormedArray()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileIsWellFormedArray"
"Deliberately throws an unhandled exception so Allure buckets it under Test defects broken","28","demonstratesTestDefectCategory()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesTestDefectCategory"
"","74","createOrderIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","createOrderIndependently"
"Flaky category matches both failed and broken statuses","14","flakyCategoryMatchesFailedAndBroken()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryMatchesFailedAndBroken"
"Product defects category matches only failed status","232","productDefectsCategoryMatchesOnlyFailed()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","productDefectsCategoryMatchesOnlyFailed"
"","69","overridesOnlyQty()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlyQty"
"Categories file contains exactly the three expected named categories","14","categoriesFileHasExactlyThreeCategories()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileHasExactlyThreeCategories"
"","105","countOrdersIndependently()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","countOrdersIndependently"
"Flaky category is explicitly flagged flaky true","12","flakyCategoryIsFlaggedFlakyTrue()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryIsFlaggedFlakyTrue"
"Flaky category has a messageRegex covering timeout, stale element, and connection reset","11","flakyCategoryHasExpectedMessageRegex()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryHasExpectedMessageRegex"
