"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deliberately fails a plain assertion so Allure buckets it under Product defects","20","demonstratesProductDefectCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesProductDefectCategory"
"A normal passing test so Allure shows a Passed status","15","demonstratesPassedCategory()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesPassedCategory"
"","90","overridesOnlyQty()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlyQty"
"","47","m1_databaseIsIsolatedAndReachable()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m1_databaseIsIsolatedAndReachable"
"","63","createsOrderWithBuilderDefaults()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","createsOrderWithBuilderDefaults"
"Skipped before execution via the Disabled annotation","0","demonstratesSkippedViaDisabled()","","2026-07-10","skipped","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaDisabled"
"Categories file is a well-formed JSON array","15","categoriesFileIsWellFormedArray()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileIsWellFormedArray"
"Product defects category matches only failed status","255","productDefectsCategoryMatchesOnlyFailed()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","productDefectsCategoryMatchesOnlyFailed"
"","85","testB_createsOwnData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testB_createsOwnData"
"Flaky category matches both failed and broken statuses","15","flakyCategoryMatchesFailedAndBroken()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryMatchesFailedAndBroken"
"Categories split flaky, test and product failures so each bucket has an error","17","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"Flaky category is explicitly flagged flaky true","13","flakyCategoryIsFlaggedFlakyTrue()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryIsFlaggedFlakyTrue"
"","73","m5_dataIsVerifiedIndependentlyInDatabase()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m5_dataIsVerifiedIndependentlyInDatabase"
"","67","testA_createsOwnData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise3Test","com.ust.sdet.tests.Exercise3Test","testA_createsOwnData"
"Skipped at runtime via a failed assumption, not a hard failure","25","demonstratesSkippedViaAssumption()","","2026-07-10","skipped","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesSkippedViaAssumption"
"","48","m3_builderAndFactoryProduceOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m3_builderAndFactoryProduceOrder"
"Deliberately throws an unhandled exception so Allure buckets it under Test defects broken","16","demonstratesTestDefectCategory()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesTestDefectCategory"
"","67","overridesOnlySku()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise1Test","com.ust.sdet.tests.Exercise1Test","overridesOnlySku"
"","67","m4_testsAreIsolatedByReset()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m4_testsAreIsolatedByReset"
"Categories file contains exactly the three expected named categories","15","categoriesFileHasExactlyThreeCategories()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesFileHasExactlyThreeCategories"
"","119","countOrdersIndependently()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","countOrdersIndependently"
"","80","createOrderIndependently()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.Exercise2Test","com.ust.sdet.tests.Exercise2Test","createOrderIndependently"
"Test defects category matches only broken status","13","testDefectsCategoryMatchesOnlyBroken()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","testDefectsCategoryMatchesOnlyBroken"
"Deliberately fails with a message matching the flaky messageRegex","23","demonstratesFlakyCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.CategoryDemonstrationTest","com.ust.sdet.tests.CategoryDemonstrationTest","demonstratesFlakyCategory"
"Flaky category has a messageRegex covering timeout, stale element, and connection reset","12","flakyCategoryHasExpectedMessageRegex()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","flakyCategoryHasExpectedMessageRegex"
"","58","m2_repositorySavesAndCounts()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.MilestoneTest","com.ust.sdet.tests.MilestoneTest","m2_repositorySavesAndCounts"
